population_size,generations,tournament_size,crossover_rate,mutation_rate,stagnation_limit,avg_fitness,max_fitness,min_fitness,avg_generations_used,assigned_TRA,assigned_CG,assigned_URO,assigned_NEU,assigned_GIN,assigned_OFT
80,150,2,0.8,0.02,15,1.1336123632905373,1.1392482168330957,1.1261925820256775,44.06666666666667,12,14,10,4,10,13
80,150,3,0.9,0.02,15,1.133396005706134,1.1369543509272468,1.1250456490727532,32.8,12,14,10,4,10,10
120,150,2,0.7,0.02,15,1.133396005706134,1.1369543509272468,1.1259757489300999,41.733333333333334,12,14,10,4,10,10
80,150,3,0.7,0.02,15,1.1329302900618163,1.1369543509272468,1.105493580599144,35.86666666666667,12,14,10,4,10,10
80,150,3,0.8,0.05,15,1.13250746552544,1.1392482168330957,1.105283880171184,36.733333333333334,12,14,10,4,10,13
80,150,2,0.7,0.02,15,1.1320939610080838,1.1392482168330957,1.102283880171184,45.2,12,14,10,4,10,13
120,150,2,0.8,0.02,15,1.131459438896814,1.1369543509272468,1.119843081312411,39.46666666666667,12,14,10,4,10,10
120,150,2,0.8,0.05,15,1.1304562054208274,1.1392482168330957,1.1160599144079886,39.86666666666667,12,14,10,4,10,13
80,150,3,0.8,0.02,15,1.1294213029006182,1.1369543509272468,1.112206847360913,30.8,12,14,10,4,10,10
120,150,2,0.7,0.05,15,1.127723918212078,1.1369543509272468,1.1149129814550642,38.53333333333333,12,14,10,4,10,10
80,150,2,0.8,0.05,15,1.127200855920114,1.1366747503566332,1.1044308131241083,35.333333333333336,11,14,10,4,10,13
80,150,2,0.9,0.05,15,1.1269499762244413,1.1392482168330957,1.1044308131241083,44.6,12,14,10,4,10,13
80,150,2,0.7,0.05,15,1.1261934379457916,1.1392482168330957,1.0926476462196861,39.53333333333333,12,14,10,4,10,13
120,150,2,0.9,0.05,15,1.121141321921065,1.1369543509272468,1.1044308131241083,37.13333333333333,12,14,10,4,10,10
